VideoName,ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
00001.mp4,1,9,A,2,2,2,0,0,515,402,644,580,2,X
00001.mp4,2,45,B,2,2,2,701,381,734,580,587,403,2,X
00001.mp4,3,64,B,2,2,2,0,0,632,577,501,394,2,X
00001.mp4,4,88,A,2,2,2,0,0,536,356,628,580,2,X
00001.mp4,5,97,A,2,2,1,0,0,541,357,619,584,3,X
00001.mp4,6,114,A,2,2,1,535,182,537,362,576,589,5,X
00001.mp4,7,128,B,2,1,2,480,422,503,596,554,374,6,X
00001.mp4,8,154,A,2,2,2,551,326,559,429,546,597,9,X
00001.mp4,9,185,B,2,2,1,427,315,412,626,574,400,3,X
00001.mp4,10,214,A,2,2,1,495,160,485,379,506,614,3,X
00001.mp4,11,241,B,2,2,2,830,455,830,580,620,374,6,X
00001.mp4,12,269,A,2,1,2,867,371,841,432,775,566,8,X
00001.mp4,13,312,B,2,2,1,858,408,851,653,747,402,7,X
00001.mp4,14,329,A,2,2,2,805,285,806,396,750,624,6,X
00001.mp4,15,355,B,2,2,2,892,448,870,574,780,395,6,X
00001.mp4,16,429,B,2,2,1,468,351,443,621,576,382,3,X
00001.mp4,17,448,A,2,2,1,401,16,502,389,477,647,6,X
00001.mp4,18,467,A,2,2,1,412,171,403,355,517,606,7,X
00001.mp4,19,495,B,2,1,2,442,472,469,573,462,376,6,X
00001.mp4,20,534,A,1,2,1,792,162,795,359,667,581,3,X
00001.mp4,21,572,B,2,2,1,738,308,710,639,737,387,7,X
00001.mp4,22,576,B,2,2,2,620,291,715,664,623,392,7,X
00001.mp4,23,593,A,2,2,2,478,354,469,420,668,634,6,X
00001.mp4,24,624,B,2,1,2,414,328,424,555,514,411,8,X
00001.mp4,25,660,A,1,2,1,768,171,761,367,644,571,3,X
00001.mp4,26,689,B,2,2,1,843,365,909,630,752,380,7,X
00001.mp4,27,708,A,2,2,2,518,317,555,404,735,631,6,X
00001.mp4,28,736,B,2,2,1,438,288,460,603,558,411,6,X
00001.mp4,29,772,A,2,2,1,483,148,496,371,536,595,7,X
00001.mp4,30,808,B,2,2,1,428,333,393,630,535,382,3,X
00001.mp4,31,841,A,2,2,1,458,217,483,385,494,610,7,X
00001.mp4,32,871,B,2,1,2,438,421,430,564,531,387,6,X
00001.mp4,33,896,A,2,2,2,456,352,432,413,468,546,8,X
00001.mp4,34,953,B,2,2,1,828,325,816,642,682,405,3,X
00001.mp4,35,978,A,2,2,1,811,166,771,375,781,637,3,X
00001.mp4,36,1007,B,2,2,2,891,390,862,585,769,382,6,X
00001.mp4,37,1043,A,2,1,2,876,401,866,434,752,573,8,X
00001.mp4,38,1093,B,2,2,1,537,290,540,645,600,403,5,X
00001.mp4,39,1145,B,2,2,2,815,353,826,544,743,397,6,X
00001.mp4,40,1170,A,2,1,2,862,410,832,445,771,533,8,X
00001.mp4,41,1206,B,2,2,2,0,0,630,614,700,421,8,X
00001.mp4,42,1226,B,2,2,1,716,313,725,647,704,402,7,X
00001.mp4,43,1246,A,2,1,2,837,370,814,399,751,627,6,X
00001.mp4,44,1280,B,2,2,2,858,376,863,548,741,403,6,X
00001.mp4,45,1306,A,2,1,2,832,315,829,445,780,546,8,X
